Collection,Code,Product Varitation,Product group,Design Variation,Species,Grade,Construction,Profile,Texture,Finish,Edge,Certification
SUPERWIDE,RES007,Ecru Super Wide Plank (Select),Ecru,Super Wide Plank,European Oak,Select,2Ply Engineered,Tongue & Grooved & Ends Matched,Brushed,Burnished Hardwax Oil Matt,Micro Bevel, FSC® Mix Credit
URBAN,URB080,Brooklyn Chevron,Brooklyn,Chevron   ,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges, FSC® Mix Credit
URBAN,URB078,Brooklyn Extra Wide Plank,Brooklyn,Extra Wide Plank ,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges,FSC® 100%
URBAN,URB079,Brooklyn Herringbone,Brooklyn,Herringbone  ,European Oak,Nature,2Ply Engineered,Grooved 3 Sides,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges,FSC® 100%
URBAN,URB076,Brooklyn Narrow Plank,Brooklyn,Narrow Plank  ,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges,FSC® 100%
URBAN,URB077,Brooklyn Plank,Brooklyn,Plank   ,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges,FSC® 100%
URBAN,URB085,Dalston Chevron,Dalston,Chevron   ,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges, FSC® Mix Credit
URBAN,URB083,Dalston Extra Wide Plank,Dalston,Extra Wide Plank ,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges,FSC® 100%
URBAN,URB084,Dalston Herringbone,Dalston,Herringbone  ,European Oak,Nature,2Ply Engineered,Grooved 3 Sides,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges,FSC® 100%
URBAN,URB081,Dalston Narrow Plank,Dalston,Narrow Plank  ,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges,FSC® 100%
URBAN,URB082,Dalston Plank,Dalston,Plank   ,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges,FSC® 100%
URBAN,URB100,Gaslamp Chevron,Gaslamp,Chevron   ,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Worn Skip Sawn ,Naked Skin Lacquer Satin,Hand Rolled Edges, FSC® Mix Credit
URBAN,URB098,Gaslamp Extra Wide Plank,Gaslamp,Extra Wide Plank ,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Worn Skip Sawn ,Naked Skin Lacquer Satin,Hand Rolled Edges,FSC® 100%
URBAN,URB099,Gaslamp Herringbone,Gaslamp,Herringbone  ,European Oak,Nature,2Ply Engineered,Grooved 3 Sides,Worn Skip Sawn ,Naked Skin Lacquer Satin,Hand Rolled Edges,FSC® 100%
URBAN,URB096,Gaslamp Narrow Plank,Gaslamp,Narrow Plank  ,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Worn Skip Sawn ,Naked Skin Lacquer Satin,Hand Rolled Edges,FSC® 100%
URBAN,URB097,Gaslamp Plank,Gaslamp,Plank   ,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Worn Skip Sawn ,Naked Skin Lacquer Satin,Hand Rolled Edges,FSC® 100%
URBAN,URB095,Hoxton Chevron,Hoxton,Chevron   ,European Oak,Nature,2Ply Engineered,Tongue & Grooved & Ends Matched,Worn Skip Sawn ,Naked Skin Lacquer Super Matt,Hand Rolled Edges, FSC® Mix Credit
